Address,Translated
"Улица Гюльбенкяна 37, Ереван","Gulbenkian Street 37, Yerevan"
"Улица Андраника Зоравара 20, Yerevan","Andranik Zoravar Street 20, Yerevan"
"Արաբկիրի 17-րդ փողոց, Երևան","17th Arabkir Street, Yerevan"
"Улица Арама Хачатуряна 26/2, Yerevan ","Arama Khachaturiyana Street 26/2, Yerevan "
"Mayak block 5, Yerevan","Mayak block 5, Yerevan"
"Улица Кора, Ереван","Kora Street, Yerevan"
"Charents street 70/8, Yerevan","Charents street 70/8, Yerevan"
"Totovents street 1/1, Yerevan","Totovents street 1/1, Yerevan"
"Komitas Avenue 45, Yerevan","Komitas Avenue 45, Yerevan"
"Микрорайон Норашен 4, Ереван","Microdistrict Norashen 4, Yerevan"
"Bashinjaghyan street 1a, Yerevan","Bashinjaghyan street 1a, Yerevan"
"Улица Грачья Ачаряна 34, Ереван","Hrachya Acharyan Street 34, Yerevan"
"Argishti street 7/1, Երևան","Argishti street 7/1, Yerevan"
"2-րդ բնակելի զանգված 18, Երևան","2nd residential block 18, Yerevan"
"Yeznik Koghbatsi street 51, Yerevan","Yeznik Koghbatsi street 51, Yerevan"
"Bashinjaghyan street 188, Yerevan","Bashinjaghyan street 188, Yerevan"
"Taronts street 15, Yerevan","Taronts street 15, Yerevan"
"Nar-Dos street 75, Yerevan","Nar-Dos street 75, Yerevan"
"Griboyedov street 3, Yerevan","Griboyedov street 3, Yerevan"
"Վերին Շենգավիթի 2-րդ փողոց, Երևան","2nd Upper Shengavit Street, Yerevan"
"Նուբարաշենի Բ10 թաղամաս, Երևան","Nubarashen B10 district, Yerevan"
"Mamikonyants street 70, Yerevan","Mamikonyants street 70, Yerevan"
"Dzorap Street, Yerevan","Dzorap Street, Yerevan"
"Minas Avetisyan street 4փ, Yerevan","Minas Avetisyan street 4փ, Yerevan"
"Ohanov street 66, Yerevan","Ohanov street 66, Yerevan"
"Այգեստան 10-րդ փողոց, Երևան","Aygestan 10th Street, Yerevan"
"Garegin Nzhdeh Street 29, Yerevan","Garegin Nzhdeh Street 29, Yerevan"
"Sayat Nova avenu 45, Երևան","Sayat Nova Avenue 45, Yerevan"
"SasnaTsrer street 4, Yerevan","SasnaTsrer street 4, Yerevan"
"Vagharshyan St 13, Yerevan","Vagharshyan St 13, Yerevan"
"Մարշալ Բաղրամյան պողոտա 13, Yerevan","13 Marshal Baghramyan Avenue, Yerevan"
"Улица Гюлбенкяна 24/1, Yerevan","Gulbenkyan street 24/1, Yerevan"
"Սարի Թաղի 8-րդ և 9-րդ շարքեր, Երևան","8th and 9th rows of Sari Tagh, Yerevan"
"Koryun street 9, Yerevan","Koryun street 9, Yerevan"
"Pushkin street 5, Երևան","Pushkin street 5, Yerevan"
"Վիկտոր Համբարձումյանի փողոց, Երևան","Viktor Hambardzumyan Street, Yerevan"
"Zaqyan Street 2B, Yerevan","Zaqyan Street 2B, Yerevan"
"Kasyan street 12, Yerevan","Kasyan street 12, Yerevan"
Aragatsotn › Aparan,Aragatsotn › Aparan
"Տիգրան Մեծի փողոց 46, Աշտարակ","46 Tigran Mets Street, Ashtarak"
"Margarian street 25, Yerevan","Margarian street 25, Yerevan"
"Araratyan Street, Ashtarak","Araratyan Street, Ashtarak"
Aragatsotn › Ashtarak,Aragatsotn › Ashtarak
Aragatsotn › Talin,Aragatsotn › Talin
"Aram Manukyan street, Ashtarak","Aram Manukyan street, Ashtarak"
"Պռոշյան փողոց, Աշտարակ","Proshyan Street, Ashtarak"
"Արագածի փողոց, Ոսկեվազ","Aragats Street, Voskevaz"
"Улица Тиграна Меца, Аштарак","Tigrana Metsa Street, Ashtarak"
"Վարդգես Պետրոսյանի փողոց, Աշտարակ","Vardges Petrosyan Street, Ashtarak"
"Տիգրան Մեծի փողոց, Աշտարակ","Tigran Mets Street, Ashtarak"
Aragatsotn › Byurakan,Aragatsotn › Byurakan
Aragatsotn › Oshakan,Aragatsotn › Oshakan
"Проспект Республики 1/5, Абовян","Republic Avenue 1/5, Abovyan"
"1-ին փողոց 61, Մասիս","61 1st Street, Masis"
"Լենինի փողոց 10, Նշավան","Lenin Street 10, Nshavan"
"Dprocakanner street, Masis","Dprocakanner street, Masis"
"Ներսիսյան փողոց 1, Արտաշատ","Nersisyan Street 1, Artashat"
"August 23 street 23, Artaxata (Artashat)","August 23 street 23, Artaxata (Artashat)"
"Շահումյանի փողոց 14, Արտաշատ","Shahumyan Street 14, Artashat"
"Ծովակալ Իսակովի փողոց 83, Արտաշատ","Admiral Isakov Street 83, Artashat"
Ararat › Geghanist,Ararat › Geghanist
"Մխիթար Հերացու 6-րդ նրբանցք, Մասիս","Mkhitar Heratsi 6th Alley, Masis"
"Երևանյան փողոց 1, Արտաշատ","Yerevanyan Street 1, Artashat"
"3-րդ թաղամաս 20, Մասիս","3rd District 20, Masis"
"Улица Араратян 36, Веди","Araratyan street 36, Vedi"
"Օգոստոսի, Արտաշատ","August, Artashat"
"Մխիթար Հերացու փողոց 9/12, Մասիս","9/12 Mkhitar Heratsi Street, Masis"
"Գործարանային փողոց 43, Մասիս","43 Factory Street, Masis"
"Admiral Isakov Street, Artashat","Admiral Isakov Street, Artashat"
"Նոր թաղամաս 27, Մասիս","New District 27, Masis"
"Улица Грачья Товмасяна, Арташат","Hrachya Tovmasyan Street, Artashat"
"Kentronakan 4th Street, Argavand","Kentronakan 4th Street, Argavand"
"Araz street 9, Artaxata (Artashat)","Araz street 9, Artaxata (Artashat)"
"Նոր թաղամաս 3/1, Մասիս","New District 3/1, Masis"
"Մխիթար Հերացու փողոց, Մասիս","Mkhitar Heratsi Street, Masis"
"Մխիթար Հերացի փողոց 20, Yerevan","Mkhitar Heratsi Street 20, Yerevan"
"1-ին փողոց, Գեղաքար","1st Street, Geghakar"
"Մարքսի Փողոց 74, Արտաշատ","74 Marx Street, Artashat"
"Hanrapetutyun street, Masis","Hanrapetutyun street, Masis"
"3-րդ թաղամաս 1, Մասիս","3rd District 1, Masis"
"Isakov street 76, Artaxata (Artashat)","Isakov street 76, Artaxata (Artashat)"
"Օգոստոսի 23, Արտաշատ","August 23, Artashat"
Ararat › Vedi,Ararat › Vedi
"Նոր թաղամաս 38, Մասիս","New District 38, Masis"
"Արամի փողոց, Ղուկասավան","Arami Street, Ghukasavan"
"Dprocakanner alley 10, Masis","Dprocakanner alley 10, Masis"
"Квартал Нор, Масис","Nor Quarter, Masis"
"Գայի փողոց, Նշավան","Gay Street, Nshavan"
"Abovyan street, Ararat","Abovyan street, Ararat"
"Isakov street 101, Artaxata (Artashat)","Isakov street 101, Artaxata (Artashat)"
"8-րդ փողոց, Նոր Խարբերդ","8th Street, Nor Kharberd"
"Квартал Нор 18, Масис","Quarter Nor 18, Masis"
"Կամոյի փողոց 16, Ազատավան","16 Kamo Street, Azatavan"
"Baghramyan street, Vagharshapat","Baghramyan street, Vagharshapat"
"Mesrop Mashtotsi St, Vagharshapat","Mesrop Mashtotsi St, Vagharshapat"
"Mesrop Mashtots street 10, Vagharshapat","Mesrop Mashtots street 10, Vagharshapat"
"Vazgen Arajin street, Vagharshapat","Vazgen Arajin street, Vagharshapat"
"Movses Khorenatsi Street, Gyumri","Movses Khorenatsi Street, Gyumri"
"Baghramyan street, Armavir","Baghramyan street, Armavir"
"Charents street, Armavir","Charents street, Armavir"
Armavir › Merdzavan,Armavir › Merdzavan
"Улица Хачатура Кечареци 17, Цахкадзор","Street Khachatura Kecharetsi 17, Tsakhadzor"
Armavir › Metsamor,Armavir › Metsamor
"Charents street, Vagharshapat","Charents street, Vagharshapat"
"Մովսես Խորենացի փողոց 20Ա, Վաղարշապատ","20A Movses Khorenatsi Street, Vagharshapat"
"Mashtotsi St, Vagharshapat","Mashtotsi St, Vagharshapat"
"Улица Паруйра Севака 1, Гюмри","Paruyr Sevak Street 1, Gyumri"
"Սայաթ-Նովա փողոցի 5-րդ նրբանցք 2, Արմավիր","Sayat-Nova Street, 5th Lane 2, Armavir"
"Улица Карчикяна 1, Вагаршапат","1 Karchikyana Street, Vagharshapat"
"Վռամ Կոստանյան փողոց 6, Վաղարշապատ","6 Vram Kostanyan Street, Vagharshapat"
"Mesrop Mashtots street 48, Vagharshapat","Mesrop Mashtots street 48, Vagharshapat"
"Mashtots St, Vagharshapat","Mashtots St, Vagharshapat"
"Վռամ Կոստանյան փողոց, Վաղարշապատ","Vram Kostanyan Street, Vagharshapat"
"1district, Metsamor","1district, Metsamor"
Armavir › Tairov,Armavir › Tairov
"Պարույր Սևակի փողոց 1, Գյումրի","1 Paruyr Sevak Street, Gyumri"
"Մուշ 2 թաղամաս 10-2Ա, Գյումրի","Mush 2nd district 10-2A, Gyumri"
"Mashtots Street, Armavir","Mashtots Street, Armavir"
"Զվարթնոց թաղամաս, Վաղարշապատ","Zvartnots district, Vagharshapat"
"Manushyan Street 10, Vagharshapat","Manushyan Street 10, Vagharshapat"
"Sahmanapahner Street 45, Armavir","Sahmanapahner Street 45, Armavir"
"Movses Khorenatsi Street, Vagharshapat","Movses Khorenatsi Street, Vagharshapat"
"Улица Мовсеса Хоренаци 28, Вагаршапат","28 Movses Khorenatsi Street, Vagharshapat"
"Улица Баграмян, Вагаршапат","Bagramyan Street, Vagharshapat"
"Улица Манушяна 11, Вагаршапат","Manushyan street 11, Vagharshapat"
Armavir › Norakert,Armavir › Norakert
"Չարենցի փողոց 67, Վաղարշապատ","67 Charents Street, Vagharshapat"
"Մեսրոպ Մաշտոց փողոց 22, Վաղարշապատ","Mesrop Mashtots Street 22, Vagharshapat"
"Արամ Մանուկյան փողոց 5, Մուսալեռ","5 Aram Manukyan Street, Musaler"
"Улица Врама Костаняна 8, Вагаршапат","8 Vrama Kostanyana Street, Vagharshapat"
"Vardan Mamikonyan street, Tairov","Vardan Mamikonyan street, Tairov"
"Улица Мовсес Хоренаци, Вагаршапат","Movses Khorenatsi Street, Vagharshapat"
"Khachatur Abovyan Street 4th Lane 4, Armavir","Khachatur Abovyan Street 4th Lane 4, Armavir"
Armavir › Parakar,Armavir › Parakar
"Kamo street 4, Vagharshapat","Kamo street 4, Vagharshapat"
"Երիտասարդության փողոց 1, Մերձավան","1 Eritasutyan Street, Merdzavan"
"1 թաղամաս, Մեծամոր","1st district, Metsamor"
"Улица Месропа Маштоца, Вагаршапат","Mesrop Mashtots Street, Vagharshapat"
"Misak Manushyan street 12, Vagharshapat","Misak Manushyan street 12, Vagharshapat"
"Երևանյան խճուղի, Մերձավան","Yerevan Highway, Merdzavan"
"Արարատյան փողոց 34Ա, Վաղարշապատ","34A Araratyan Street, Vagharshapat"
"Mesrop Mashtots St 19, Vagharshapa","Mesrop Mashtots St 19, Vagharshapa"
"Vazgen Arajin street 43, Vagharshapat","Vazgen Arajin street 43, Vagharshapat"
"Vazgen Arajin street 6, Vagharshapat","Vazgen Arajin street 6, Vagharshapat"
"Mesrop Mashtots street 18, Vagharshapat","Mesrop Mashtots street 18, Vagharshapat"
"Երկաթգծի փողոց, Արգավանդ","Railway Street, Argavand"
"Բաղրամյան փողոց, Վաղարշապատ","Baghramyan Street, Vagharshapat"
"Movses Khorenatsi Street 14, Vagharshapat","Movses Khorenatsi Street 14, Vagharshapat"
"Վազգեն Արաջինի փողոց, Վաղարշապատ","Vazgen Arajin Street, Vagharshapat"
"Ռ․Եսայան փողոց 29, Վաղարշապատ","29 R. Yesayan Street, Vagharshapat"
"Սուրբ Հարություն փողոց, Փարաքար","Surb Harutyun Street, Parakar"
"Улица Рафаэла Патканяна 19, Вагаршапат","Rafael Patkanyan Street 19, Vagharshapat"
"Tairov street, Yerevan","Tairov street, Yerevan"
"Erevanyan street 16/1, Armavir","Erevanyan street 16/1, Armavir"
"Mesrop Mashtots Avenue 18, Yerevan","Mesrop Mashtots Avenue 18, Yerevan"
"Մեսրոպ Մաշտոց փողոց 64, Վաղարշապատ","64 Mesrop Mashtots Street, Vagharshapat"
"Jivani street 15, Armavir","Jivani street 15, Armavir"
"Mesrop Mashtots street 6, Vagharshapat","Mesrop Mashtots street 6, Vagharshapat"
"Արագած փողոց, Վաղարշապատ","Aragats Street, Vagharshapat"
"Վռամ Կոստանյան փողոց 1, Վաղարշապատ","1 Vram Kostanyan Street, Vagharshapat"
"Nairi street 31, Parakar","Nairi street 31, Parakar"
"Mesrop Mashtots Avenue 22, Երևան","Mesrop Mashtots Avenue 22, Yerevan"
"Վազգեն Առաջինի փողոց 17, Վաղարշապատ","17 Vazgen Arayani Street, Vagharshapat"
"Nairi street 27, Parakar","Nairi street 27, Parakar"
"Улица Маштоца, Армавир","Mashtots street, Armavir"
"Vazgen Sargsyan street 3, Stepanakert","Vazgen Sargsyan street 3, Stepanakert"
"Aleksey Hekimyan street, Stepanakert","Aleksey Hekimyan street, Stepanakert"
"Alek Manukyan street, Stepanakert","Alek Manukyan street, Stepanakert"
"Nalbandyan street, Stepanakert","Nalbandyan street, Stepanakert"
Artsakh › Stepanakert,Artsakh › Stepanakert
"Admiral Isakov street 4a, Stepanakert","Admiral Isakov street 4a, Stepanakert"
"Arzanyan street, Stepanakert","Arzanyan street, Stepanakert"
"Admiral Isakov street, Stepanakert","Admiral Isakov street, Stepanakert"
"Nairyan Street, Sevan town","Nairyan Street, Sevan town"
Gegharkunik › Chambarak,Gegharkunik › Chambarak
"Ազատության փողոց 21, Գավառ","21 Azatutyan Street, Gavar"
"Գրիբոեդով փողոց 5, Սևան","5 Griboedov Street, Sevan"
"Улица Налбандяна 49, Севан","49 Nalbandyan Street, Sevan"
"M-10 13, Tsovazard","M-10 13, Tsovazard"
"Եղիշե Չարենցի փողոց 46, Վարդենիս","46 Yeghishe Charents Street, Vardenis"
"Sayat Nova street 13/14, Sevan town","Sayat Nova street 13/14, Sevan town"
"Սայաթ-Նովա փողոց 20/25, Սևան","Sayat-Nova Street 20/25, Sevan"
"Улица Наирян 176, Севан","176 Nairyan Street, Sevan"
"Yerevanyan highway, Սևան","Yerevanyan highway, Sevan"
Gegharkunik › Vardenis,Gegharkunik › Vardenis
"Սարգիս Սևանեցու փողոց 7, Սևան","7 Sargis Sevanetsi Street, Sevan"
"Nairyan Str., Sevan","Nairyan Str., Sevan"
"Khaghagutyan street, Sevan town","Khaghagutyan street, Sevan town"
"Nalbandyan street, Sevan town","Nalbandyan street, Sevan town"
"Yerevan street 19, Tsakkar","Yerevan street 19, Tsakkar"
"Միքայել Նալբանդյանի փողոց 38, Սևան","38 Mikael Nalbandyan Street, Sevan"
"Նաիրյան փողոց 179, Սևան","179 Nairyan Street, Sevan"
"Երևանյան փողոց 24, Մարտունի","Yerevanyan Street 24, Martuni"
"Ա. Սեսմանուկյան փողոց 7, Վարդենիս","A. Sesmanukyan Street 7, Vardenis"
Gegharkunik › Shoghakat,Gegharkunik › Shoghakat
"Улица Налбандяна 42, Севан","42 Nalbandyan Street, Sevan"
"Եղիշե Չարենցի փողոց 54, Վարդենիս","54 Yeghishe Charents Street, Vardenis"
"Улица Микаэла Налбандяна 55, Севан","Mikael Nalbandyan Street 55, Sevan"
"Ստեփան Շահումյանի փողոց 18, Սևան","Stepan Shahumyan Street 18, Sevan"
"Նալբանդյան փողոց, Սևան","Nalbandyan Street, Sevan"
Gegharkunik › Chkalovka,Gegharkunik › Chkalovka
"Գրիբոեդով փողոց, Սևան","Griboedov Street, Sevan"
"Ա․ Սեսմանուկյան փողոց 1-ին նրբանցք 14, Վարդենիս","A. Sesmanukyan Street, 1st Lane, 14, Vardenis"
"Улица Саркиса Севанеци 19, Севан","19 Sarkis Sevanetsi Street, Sevan"
"Սարգիս Սևանեցու փողոց, Սևան","Sargis Sevanetsi Street, Sevan"
"Էներգետիկների փողոց, Սևան","Energetikneri Street, Sevan"
International › Georgia,International › Georgia
International › Russia,International › Russia
"Hanrapetutian Avenue 36, Abovyan","Hanrapetutian Avenue 36, Abovyan"
"Zoravar Andranik avenue, Hrazdan","Zoravar Andranik avenue, Hrazdan"
"Սիրող Սրտեր բնակելի թաղամաս 77/27, Ձորաղբյուր","Loving Hearts residential district 77/27, Dzoraghbyur"
"Улица Уренинер 8, Касах","Ureniner street 8, Kasakh"
"Kecharetsi St, Tsaghkadzor","Kecharetsi St, Tsaghkadzor"
"2nd microdistrict, Abovyan","2nd microdistrict, Abovyan"
"Ազատության փողոց 1, Ձորաղբյուր","1 Azatutyan Street, Dzoraghbyur"
"Квартал Кентрон 4, Раздан","Kentron Quarter 4, Razdan"
"Սարալանջի փողոց 8Ա, Աբովյան","8A Saralanj Street, Abovyan"
"Khachatur Kecharetsi Street 8, Tsaghkadzor","Khachatur Kecharetsi Street 8, Tsaghkadzor"
Kotayk › Nurnus,Kotayk › Nurnus
"3rd microdistrict 16, Abovyan","3rd microdistrict 16, Abovyan"
"Ծաղկի հրապարակ 1, Ծաղկաձոր","Flower Square 1, Tsaghkadzor"
"Daran street 4, Abovyan","Daran street 4, Abovyan"
"2nd Street 34, Aramus village","2nd Street 34, Aramus village"
"3rd microdistrict 5, Abovyan","3rd microdistrict 5, Abovyan"
Kotayk › Nor Hachen,Kotayk › Nor Hachen
"Sevani street, Abovyan","Sevani street, Abovyan"
"Tandzaghbyuri St, Tsaghkadzor","Tandzaghbyuri St, Tsaghkadzor"
"18th street of Khachatur Abovyan, Aring","18th street of Khachatur Abovyan, Aring"
"Isahakyan street, Ծաղկաձոր","Isahakyan street, Tsaghkadzor"
Kotayk › Hankavan,Kotayk › Hankavan
Kotayk › Jrvezh,Kotayk › Jrvezh
"Олимпийская улица 8, Цахкадзор","Olympic street 8, Tsaghkadzor"
"Barekamutian street, Abovyan","Barekamutian street, Abovyan"
"6 -րդ թաղամաս 6-29, Չարենցավան","6th District 6-29, Charentsavan"
"Площадь Сахманадрутян 39, Раздан","Sahmanadrutyan Square 39, Hrazdan"
"Զորավար Անդրանիկի փողոց 1/1, Երևան","1/1 Zoravar Andranik Street, Yerevan"
"4th street 76, Hrazdan","4th street 76, Hrazdan"
"Հրազդանի փողոց 1, Երևան","1 Hrazdan Street, Yerevan"
"Հրազդանի փողոց 12/1, Երևան","12/1 Hrazdan Street, Yerevan"
"Улица Атиса 1/6, Абовян","1/6 Atisa Street, Abovyan"
"Կենտրոն թաղամաս 44, Հրազդան","44 Kentron District, Hrazdan"
"4th street, Hrazdan","4th street, Hrazdan"
"Գրիգոր Զոհրապի փողոց 25, Գառնի","25 Grigor Zohrap Street, Garni"
"Hanrapetutian Avenue 1/5, Abovyan","Hanrapetutian Avenue 1/5, Abovyan"
"Hanrapetutian Avenue, Abovyan","Hanrapetutian Avenue, Abovyan"
"Սևանի փողոց 2/1, Աբովյան","2/1 Sevan Street, Abovyan"
"6 -րդ թաղամաս 6-9, Չարենցավան","6th District 6-9, Charentsavan"
"Վազգեն Սարգսյանի փողոց 7, Քասախ","7 Vazgen Sargsyan Street, Kasakh"
"Hanrapetutian Avenue 5, Abovyan","Hanrapetutian Avenue 5, Abovyan"
"A. Mnatsakanyan street, Առինջ գյուղ","A. Mnatsakanyan street, Arinj village"
"Ogostosi 34, Artashat","Ogostosi 34, Artashat"
"Սեդրակ Ջալալյանի փողոց 10, Քասախ","10 Sedrak Jalalyan Street, Kasakh"
"Улица Пютагораса, Канакераван","Pythagoras Street, Kanakeravan"
"Զորավար Անդրանիկի փողոց 6, Պռոշյան","6 Zoravar Andranik Street, Proshyan"
"Անտառային փողոց 10, Ձորաղբյուր","10 Antarayin Street, Dzoraghbyur"
"Խաչատուր Կեչառեցու փողոց, Ծաղկաձոր","Khachatur Kecharetsi Street, Tsaghkadzor"
"Улица Тандзахбюри 2, Цахкадзор","Tandzaghbyuri Street 2, Tsaghkadzor"
"Khachatur Kecharetsi Street 2, Tsaghkadzor","Khachatur Kecharetsi Street 2, Tsaghkadzor"
"7-րդ թաղամաս, Չարենցավան","7th district, Charentsavan"
"Հատիս փողոց 36, Աբովյան","36 Hatis Street, Abovyan"
"Սևանի փողոց 4/1, Աբովյան","4/1 Sevan Street, Abovyan"
"Սարալանջ փողոց 10, Երևան","10 Saralanj Street, Yerevan"
"Զորավար Անդրանիկի պողոտա 84, Հրազդան","84 Zoravar Andranik Avenue, Hrazdan"
"4th Micro-District, Abovyan","4th Micro-District, Abovyan"
"4-րդ փողոց 74, Հրազդան","74 4th Street, Hrazdan"
"Ջրվեժի 1-ին փողոց 68, Երևան","68, 1st Jrvezh Street, Yerevan"
"Խաչիկ Մուրադյանի փողոց 5, Ծաղկաձոր","5 Khachik Muradyan Street, Tsaghkadzor"
"Բարեկամության փողոց, Աբովյան","Barekamutyan Street, Abovyan"
Kotayk › Balahovit,Kotayk › Balahovit
"Олимпийская улица 15, Цахкадзор","Olympic street 15, Tsaghkadzor"
"Улица Хачика Мурадяна, Цахкадзор","Hachik Muradyan Street, Tsaghkadzor"
"Օլիմպիադիայի փողոց 10, Ծաղկաձոր","10 Olympiadia Street, Tsaghkadzor"
"Ջրվեժի 1-ին փողոց 40, Երևան","40, 1st Jrvezh Street, Yerevan"
"Խաչիկ Մուրադյանի փողոց, Ծաղկաձոր","Khachik Muradyan Street, Tsaghkadzor"
"Zovuni 39 street, Zovuni","Zovuni 39 street, Zovuni"
"1district 2, Charentsavan","1district 2, Charentsavan"
"8-я улица 212, Раздан","8th street 212, Hrazdan"
"4-րդ միկրոշրջան 8, 4-րդ միկրոշրջան","4th microdistrict 8, 4th microdistrict"
"3rd microdistrict 3, Abovyan","3rd microdistrict 3, Abovyan"
"Րաֆֆու փողոց 1, Հրազդան","1 Raffi Street, Hrazdan"
"Հայ Ֆիդայինների փողոց 6, Հրազդան","6 Hay Fidayinneri Street, Hrazdan"
"Միկրոշրջան թաղամաս 204, Հրազդան","Microdistrict 204, Hrazdan"
Kotayk › Proshyan,Kotayk › Proshyan
"Քոչարի փողոց 4, Չարենցավան","4 Kochar Street, Charentsavan"
"Վահան Տերյանի 1-ին փողոց, Առինջ","Vahan Teryan 1st Street, Arinj"
Kotayk › Lernanist,Kotayk › Lernanist
"3-րդ միկրոշրջան 12, Աբովյան","3rd microdistrict 12, Abovyan"
"Երկաթգծի կայարան թաղամաս 1, Հրազդան","Railway Station District 1, Hrazdan"
"5-я улица, Раздан","5th street, Hrazdan"
"Ավետիք Իսահակյանի փողոց 5/3, Ծաղկաձոր","Avetik Isahakyan Street 5/3, Tsaghkadzor"
"3-րդ թաղամաս 10, Չարենցավան","3rd District 10, Charentsavan"
"Եղիշե Չարենցի փողոց 166, Եղվարդ","166 Yeghishe Charents Street, Yeghvard"
Kotayk › Geghadir,Kotayk › Geghadir
"Saralangi street, Abovyan","Saralangi street, Abovyan"
"3-րդ միկրոշրջան 28, Աբովյան","3rd microdistrict 28, Abovyan"
"Улица Григора Магистроса, Цахкадзор","Grigor Magistros Street, Tsakhkadzor"
"Վերին Անտառային փողոց 10, Երևան","10 Upper Forest Street, Yerevan"
"Անտառային 1-ին թաղամաս, Ծաղկաձոր","Forest District 1, Tsaghkadzor"
"Միկրոշրջան թաղամաս 115, Հրազդան","Microdistrict 115, Hrazdan"
"Geghard street 1, Abovyan","Geghard street 1, Abovyan"
"Квартал Кентрон 29, Раздан","Kentron Quarter 29, Razdan"
"Օրբելի եղբայրների փողոց, Ծաղկաձոր","Orbeli Brothers Street, Tsaghkadzor"
"Orbeli Brothers street, Ծաղկաձոր","Orbeli Brothers street, Tsaghkadzor"
"Վահագնի թաղամաս 301, Վահագնի թաղամաս","Vahagni District 301, Vahagni District"
"3rd microdistrict, Abovyan","3rd microdistrict, Abovyan"
"Հատիս փողոց 1/21, Աբովյան","Hatis Street 1/21, Abovyan"
"38-րդ փողոց 23, Զովունի","23 38th Street, Zovuni"
"3-րդ թաղամաս, Չարենցավան","3rd district, Charentsavan"
"Russian street 14, Abovyan","Russian street 14, Abovyan"
"4-րդ փողոց 75, Հրազդան","75 4th Street, Hrazdan"
"2-րդ թաղամաս, Չարենցավան","2nd district, Charentsavan"
"Khanjyan St, Charentsavan ","Khanjyan St, Charentsavan "
"Ռուսաստանի փողոց 10, Աբովյան","10 Russia Street, Abovyan"
"Saralangi street 17, Abovyan","Saralangi street 17, Abovyan"
"Улица Ереванян 14, Раздан","Yerevanyan Street 14, Hrazdan"
"2-րդ փողոց, Հրազդան","2nd Street, Hrazdan"
"Nairyan Street, Abovyan","Nairyan Street, Abovyan"
"41-րդ փողոց 23, Զովունի","23 41st Street, Zovuni"
"Սպանդարյան փողոց 5, Հրազդան","Spandaryan Street 5, Hrazdan"
"Միկրոշրջան թաղամաս 224, Հրազդան","Microdistrict 224, Hrazdan"
"Ռուսաստանի փողոց, Աբովյան","Russia Street, Abovyan"
"Kentron block 31, Hrazdan","Kentron block 31, Hrazdan"
"4-րդ թաղամաս 3, Չարենցավան","4th District 3, Charentsavan"
"Purakain street, Hrazdan","Purakain street, Hrazdan"
"13-րդ փողոց, Հրազդան","13th Street, Hrazdan"
"4th microdistrict 61, Abovyan","4th microdistrict 61, Abovyan"
"Հատիս փողոց 23, Աբովյան","23 Hatis Street, Abovyan"
"4-րդ փողոց 79, Հրազդան","79 4th Street, Hrazdan"
"3-й микрорайон, Абовян","3rd microdistrict, Abovyan"
Kotayk › Kanakeravan,Kotayk › Kanakeravan
"1district 4, Charentsavan","1district 4, Charentsavan"
"Jrvezh 4-th street, Yerevan","Jrvezh 4-th street, Yerevan"
Kotayk › Nor Geghi,Kotayk › Nor Geghi
"4-րդ թաղամաս, Չարենցավան","4th district, Charentsavan"
"Սեդրակ Ջալալյան փողոց 2, Քասախ","2 Sedrak Jalalyan Street, Kasakh"
"Jrvezh 1-st street, Yerevan","Jrvezh 1-st street, Yerevan"
Kotayk › Arinj,Kotayk › Arinj
"Kasakh Street 10, Khoronk","Kasakh Street 10, Khoronk"
"6-րդ փողոց 27, Զովք","27 6th Street, Zovk"
"Yeritasardakan street, Abovyan","Yeritasardakan street, Abovyan"
"Kotayq street, Abovyan","Kotayq street, Abovyan"
"4-րդ միկրոշրջան 13, Աբովյան","4th microdistrict 13, Abovyan"
"Միկրոշրջան թաղամաս 303, Հրազդան","Microdistrict 303, Hrazdan"
"7-րդ թաղամաս 10, Չարենցավան","7th District 10, Charentsavan"
"Kentron District 26, Hrazdan","Kentron District 26, Hrazdan"
"Kentron block 47, Hrazdan","Kentron block 47, Hrazdan"
"Առինջի 25-րդ փողոց 32, Առինջ","32 Arinj 25th Street, Arinj"
"4-я улица 27, Раздан","4th street 27, Hrazdan"
"Aram Martirosyan street, Kasakh","Aram Martirosyan street, Kasakh"
"Հատիս փողոց 63, Աբովյան","63 Hatis Street, Abovyan"
"Квартал Ванатур 3, Раздан","Vanatur Quarter 3, Razdan"
"1-ին Ամառանոցային փողոց, Արամուս","1st Summer House Street, Aramus"
"Tigran Mets Avenue 56, Vanadzor","Tigran Mets Avenue 56, Vanadzor"
"Հովհաննես Թումանյանի փողոց 6, Վանաձոր","6 Hovhannes Tumanyan Street, Vanadzor"
"Yubeka Street 2, Vanadzor","Yubeka Street 2, Vanadzor"
"Գարեգին Նժդեհ փողոց, Վանաձոր","Garegin Nzhdeh Street, Vanadzor"
"Tigran Mets Avenue, Vanadzor","Tigran Mets Avenue, Vanadzor"
"Ամիրյան փողոց 5, Վանաձոր","5 Amiryan Street, Vanadzor"
"Tumanyan street 4, Vanadzor","Tumanyan street 4, Vanadzor"
"Մյասնիկյան փողոց 2-րդ նրբանցք 10, Ստեփանավան","Myasnikyan Street 2nd Lane 10, Stepanavan"
"Квартал Санаин Сараарт 3/11, Алаверди","Quarter Sanain Saraart 3/11, Alaverdi"
"Բաղրամյան փողոց 10, Ստեփանավան","10 Baghramyan Street, Stepanavan"
"Գրիգոր Նարեկացու փողոց 39, Վանաձոր","39 Grigor Narekatsi Street, Vanadzor"
"Լոռու խճուղի, Վանաձոր","Lori Highway, Vanadzor"
